image_paths,image_names,act_lables,pred_labels,act_vals,pred_vals,top_seen_labels,top_unseen_labels,seen_pred_vals
awa_data\train\bear\bear_10001 (7).jpg,bear_10001 (7).jpg,bear,tiger,0,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bear\bear_10001 (8).jpg,bear_10001 (8).jpg,bear,tiger,0,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bear\bear_10001 (9).jpg,bear_10001 (9).jpg,bear,ox,0,10,"['ox', 'monkey', 'cow', 'lion', 'tiger']","['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\train\blue_whale\blue+whale_10001.jpg,blue+whale_10001.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10002.jpg,blue+whale_10002.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10003.jpg,blue+whale_10003.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10004.jpg,blue+whale_10004.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10005.jpg,blue+whale_10005.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'seal', 'leopard']",1
awa_data\train\blue_whale\blue+whale_10006.jpg,blue+whale_10006.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'seal', 'leopard']",1
awa_data\train\blue_whale\blue+whale_10007.jpg,blue+whale_10007.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10008.jpg,blue+whale_10008.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10009.jpg,blue+whale_10009.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10010.jpg,blue+whale_10010.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10011.jpg,blue+whale_10011.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10012.jpg,blue+whale_10012.jpg,blue_whale,dolphin,1,4,"['dolphin', 'blue_whale', 'killer_whale', 'cow', 'lion']","['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",1
awa_data\train\blue_whale\blue+whale_10013.jpg,blue+whale_10013.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10014.jpg,blue+whale_10014.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10015.jpg,blue+whale_10015.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10016.jpg,blue+whale_10016.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10017.jpg,blue+whale_10017.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10018.jpg,blue+whale_10018.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10019.jpg,blue+whale_10019.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10020.jpg,blue+whale_10020.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10046.jpg,blue+whale_10046.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10047.jpg,blue+whale_10047.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10048.jpg,blue+whale_10048.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10049.jpg,blue+whale_10049.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10050.jpg,blue+whale_10050.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10051.jpg,blue+whale_10051.jpg,blue_whale,walrus,1,17,"['walrus', 'bear', 'squirrel', 'rabbit', 'lion']","['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",17
awa_data\train\blue_whale\blue+whale_10052.jpg,blue+whale_10052.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10053.jpg,blue+whale_10053.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10054.jpg,blue+whale_10054.jpg,blue_whale,dolphin,1,4,"['dolphin', 'blue_whale', 'killer_whale', 'cow', 'lion']","['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",1
awa_data\train\blue_whale\blue+whale_10055.jpg,blue+whale_10055.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10056.jpg,blue+whale_10056.jpg,blue_whale,tiger,1,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\blue_whale\blue+whale_10057.jpg,blue+whale_10057.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10058.jpg,blue+whale_10058.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10059.jpg,blue+whale_10059.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10060.jpg,blue+whale_10060.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10061.jpg,blue+whale_10061.jpg,blue_whale,bobcat,1,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\blue_whale\blue+whale_10062.jpg,blue+whale_10062.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10063.jpg,blue+whale_10063.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10064.jpg,blue+whale_10064.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\blue_whale\blue+whale_10065.jpg,blue+whale_10065.jpg,blue_whale,killer_whale,1,6,"['killer_whale', 'blue_whale', 'dolphin', 'bear', 'cow']","['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",1
awa_data\train\bobcat\bobcat_10001.jpg,bobcat_10001.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10002.jpg,bobcat_10002.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10003.jpg,bobcat_10003.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10004.jpg,bobcat_10004.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10005.jpg,bobcat_10005.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10006.jpg,bobcat_10006.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10007.jpg,bobcat_10007.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10008.jpg,bobcat_10008.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10009.jpg,bobcat_10009.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10010.jpg,bobcat_10010.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10011.jpg,bobcat_10011.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10012.jpg,bobcat_10012.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10013.jpg,bobcat_10013.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10014.jpg,bobcat_10014.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10015.jpg,bobcat_10015.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10016.jpg,bobcat_10016.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10017.jpg,bobcat_10017.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10018.jpg,bobcat_10018.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10019.jpg,bobcat_10019.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10020.jpg,bobcat_10020.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10021.jpg,bobcat_10021.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10022.jpg,bobcat_10022.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10023.jpg,bobcat_10023.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10024.jpg,bobcat_10024.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10025.jpg,bobcat_10025.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10026.jpg,bobcat_10026.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10027.jpg,bobcat_10027.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10028.jpg,bobcat_10028.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10029.jpg,bobcat_10029.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10030.jpg,bobcat_10030.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10031.jpg,bobcat_10031.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10032.jpg,bobcat_10032.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10033.jpg,bobcat_10033.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10034.jpg,bobcat_10034.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10035.jpg,bobcat_10035.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
awa_data\train\bobcat\bobcat_10036.jpg,bobcat_10036.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10037.jpg,bobcat_10037.jpg,bobcat,tiger,2,16,"['tiger', 'lion', 'squirrel', 'gorilla', 'monkey']","['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",16
awa_data\train\bobcat\bobcat_10038.jpg,bobcat_10038.jpg,bobcat,bobcat,2,2,"['bobcat', 'bear', 'rabbit', 'lion', 'dolphin']","['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",2
