image_path,class_name,pred_image_label,act_label,pred_label,similar_words
..\Dataset\artefact1\test\blue_whale\blue+whale_10152.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\blue_whale\blue+whale_10153.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\blue_whale\blue+whale_10154.jpg,blue_whale,blue_whale,1,1,"['blue_whale', 'killer_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\bobcat\bobcat_10067.jpg,bobcat,bobcat,2,2,"['bobcat', 'walrus', 'rhinoceros', 'chimp', 'sealskin']"
..\Dataset\artefact1\test\bobcat\bobcat_10068.jpg,bobcat,bobcat,2,2,"['bobcat', 'walrus', 'rhinoceros', 'chimp', 'sealskin']"
..\Dataset\artefact1\test\bobcat\bobcat_10069.jpg,bobcat,bobcat,2,2,"['bobcat', 'walrus', 'rhinoceros', 'chimp', 'sealskin']"
..\Dataset\artefact1\test\bobcat\bobcat_10070.jpg,bobcat,bobcat,2,2,"['bobcat', 'walrus', 'rhinoceros', 'chimp', 'sealskin']"
..\Dataset\artefact1\test\bobcat\bobcat_10071.jpg,bobcat,bobcat,2,2,"['bobcat', 'walrus', 'rhinoceros', 'chimp', 'sealskin']"
..\Dataset\artefact1\test\bobcat\bobcat_10072.jpg,bobcat,bobcat,2,2,"['bobcat', 'walrus', 'rhinoceros', 'chimp', 'sealskin']"
..\Dataset\artefact1\test\bobcat\bobcat_10073.jpg,bobcat,bobcat,2,2,"['bobcat', 'walrus', 'rhinoceros', 'chimp', 'sealskin']"
..\Dataset\artefact1\test\bobcat\bobcat_10074.jpg,bobcat,bobcat,2,2,"['bobcat', 'walrus', 'rhinoceros', 'chimp', 'sealskin']"
..\Dataset\artefact1\test\cow\cow_10090.jpg,cow,cow,3,3,"['cow', 'rabbit', 'squirrel', 'bear', 'panda']"
..\Dataset\artefact1\test\cow\cow_10091.jpg,cow,cow,3,3,"['cow', 'rabbit', 'squirrel', 'bear', 'panda']"
..\Dataset\artefact1\test\cow\cow_10092.jpg,cow,cow,3,3,"['cow', 'rabbit', 'squirrel', 'bear', 'panda']"
..\Dataset\artefact1\test\cow\cow_10093.jpg,cow,cow,3,3,"['cow', 'rabbit', 'squirrel', 'bear', 'panda']"
..\Dataset\artefact1\test\cow\cow_10094.jpg,cow,cow,3,3,"['cow', 'rabbit', 'squirrel', 'bear', 'panda']"
..\Dataset\artefact1\test\cow\cow_10095.jpg,cow,cow,3,3,"['cow', 'rabbit', 'squirrel', 'bear', 'panda']"
..\Dataset\artefact1\test\cow\cow_10096.jpg,cow,cow,3,3,"['cow', 'rabbit', 'squirrel', 'bear', 'panda']"
..\Dataset\artefact1\test\cow\cow_10097.jpg,cow,cow,3,3,"['cow', 'rabbit', 'squirrel', 'bear', 'panda']"
..\Dataset\artefact1\test\dolphin\dolphin_10078.jpg,dolphin,killer_whale,4,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\dolphin\dolphin_10079.jpg,dolphin,dolphin,4,4,"['dolphin', 'lion', 'monkey', 'squirrel', 'dog']"
..\Dataset\artefact1\test\dolphin\dolphin_10080.jpg,dolphin,siamese_cat,4,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\dolphin\dolphin_10081.jpg,dolphin,dolphin,4,4,"['dolphin', 'lion', 'monkey', 'squirrel', 'dog']"
..\Dataset\artefact1\test\dolphin\dolphin_10082.jpg,dolphin,dolphin,4,4,"['dolphin', 'lion', 'monkey', 'squirrel', 'dog']"
..\Dataset\artefact1\test\dolphin\dolphin_10083.jpg,dolphin,dolphin,4,4,"['dolphin', 'lion', 'monkey', 'squirrel', 'dog']"
..\Dataset\artefact1\test\dolphin\dolphin_10084.jpg,dolphin,dolphin,4,4,"['dolphin', 'lion', 'monkey', 'squirrel', 'dog']"
..\Dataset\artefact1\test\dolphin\dolphin_10085.jpg,dolphin,dolphin,4,4,"['dolphin', 'lion', 'monkey', 'squirrel', 'dog']"
..\Dataset\artefact1\test\gorilla\gorilla_10122.jpg,gorilla,gorilla,5,5,"['gorilla', 'tiger', 'mouse', 'panda', 'bear']"
..\Dataset\artefact1\test\gorilla\gorilla_10123.jpg,gorilla,gorilla,5,5,"['gorilla', 'tiger', 'mouse', 'panda', 'bear']"
..\Dataset\artefact1\test\gorilla\gorilla_10124.jpg,gorilla,gorilla,5,5,"['gorilla', 'tiger', 'mouse', 'panda', 'bear']"
..\Dataset\artefact1\test\gorilla\gorilla_10125.jpg,gorilla,gorilla,5,5,"['gorilla', 'tiger', 'mouse', 'panda', 'bear']"
..\Dataset\artefact1\test\gorilla\gorilla_10126.jpg,gorilla,gorilla,5,5,"['gorilla', 'tiger', 'mouse', 'panda', 'bear']"
..\Dataset\artefact1\test\gorilla\gorilla_10127.jpg,gorilla,gorilla,5,5,"['gorilla', 'tiger', 'mouse', 'panda', 'bear']"
..\Dataset\artefact1\test\gorilla\gorilla_10128.jpg,gorilla,gorilla,5,5,"['gorilla', 'tiger', 'mouse', 'panda', 'bear']"
..\Dataset\artefact1\test\gorilla\gorilla_10129.jpg,gorilla,gorilla,5,5,"['gorilla', 'tiger', 'mouse', 'panda', 'bear']"
..\Dataset\artefact1\test\killer_whale\killer+whale_10122.jpg,killer_whale,killer_whale,6,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\killer_whale\killer+whale_10123.jpg,killer_whale,killer_whale,6,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\killer_whale\killer+whale_10124.jpg,killer_whale,killer_whale,6,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\killer_whale\killer+whale_10125.jpg,killer_whale,killer_whale,6,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\killer_whale\killer+whale_10126.jpg,killer_whale,killer_whale,6,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\killer_whale\killer+whale_10127.jpg,killer_whale,killer_whale,6,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\killer_whale\killer+whale_10128.jpg,killer_whale,killer_whale,6,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\killer_whale\killer+whale_10129.jpg,killer_whale,killer_whale,6,6,"['killer_whale', 'blue_whale', 'polar_bear', 'giant_panda', 'spider_monkey']"
..\Dataset\artefact1\test\lion\lion_10067.jpg,lion,lion,7,7,"['lion', 'squirrel', 'giant', 'monkey', 'rabbit']"
..\Dataset\artefact1\test\lion\lion_10068.jpg,lion,lion,7,7,"['lion', 'squirrel', 'giant', 'monkey', 'rabbit']"
..\Dataset\artefact1\test\lion\lion_10069.jpg,lion,lion,7,7,"['lion', 'squirrel', 'giant', 'monkey', 'rabbit']"
..\Dataset\artefact1\test\lion\lion_10070.jpg,lion,lion,7,7,"['lion', 'squirrel', 'giant', 'monkey', 'rabbit']"
..\Dataset\artefact1\test\lion\lion_10071.jpg,lion,lion,7,7,"['lion', 'squirrel', 'giant', 'monkey', 'rabbit']"
..\Dataset\artefact1\test\lion\lion_10072.jpg,lion,lion,7,7,"['lion', 'squirrel', 'giant', 'monkey', 'rabbit']"
..\Dataset\artefact1\test\lion\lion_10073.jpg,lion,lion,7,7,"['lion', 'squirrel', 'giant', 'monkey', 'rabbit']"
..\Dataset\artefact1\test\lion\lion_10074.jpg,lion,lion,7,7,"['lion', 'squirrel', 'giant', 'monkey', 'rabbit']"
..\Dataset\artefact1\test\monkey\monkey_10003 (190).jpg,monkey,monkey,8,8,"['monkey', 'squirrel', 'rabbit', 'lion', 'tiger']"
..\Dataset\artefact1\test\monkey\monkey_10003 (191).jpg,monkey,monkey,8,8,"['monkey', 'squirrel', 'rabbit', 'lion', 'tiger']"
..\Dataset\artefact1\test\monkey\monkey_10003 (192).jpg,monkey,monkey,8,8,"['monkey', 'squirrel', 'rabbit', 'lion', 'tiger']"
..\Dataset\artefact1\test\monkey\monkey_10003 (193).jpg,monkey,monkey,8,8,"['monkey', 'squirrel', 'rabbit', 'lion', 'tiger']"
..\Dataset\artefact1\test\monkey\monkey_10003 (194).jpg,monkey,monkey,8,8,"['monkey', 'squirrel', 'rabbit', 'lion', 'tiger']"
..\Dataset\artefact1\test\monkey\monkey_10003 (195).jpg,monkey,monkey,8,8,"['monkey', 'squirrel', 'rabbit', 'lion', 'tiger']"
..\Dataset\artefact1\test\monkey\monkey_10003 (196).jpg,monkey,monkey,8,8,"['monkey', 'squirrel', 'rabbit', 'lion', 'tiger']"
..\Dataset\artefact1\test\monkey\monkey_10003 (197).jpg,monkey,monkey,8,8,"['monkey', 'squirrel', 'rabbit', 'lion', 'tiger']"
..\Dataset\artefact1\test\mouse\mouse_10097.jpg,mouse,mouse,9,9,"['mouse', 'rabbit', 'squirrel', 'bear', 'gorilla']"
..\Dataset\artefact1\test\mouse\mouse_10098.jpg,mouse,mouse,9,9,"['mouse', 'rabbit', 'squirrel', 'bear', 'gorilla']"
..\Dataset\artefact1\test\mouse\mouse_10099.jpg,mouse,mouse,9,9,"['mouse', 'rabbit', 'squirrel', 'bear', 'gorilla']"
..\Dataset\artefact1\test\mouse\mouse_10100.jpg,mouse,mouse,9,9,"['mouse', 'rabbit', 'squirrel', 'bear', 'gorilla']"
..\Dataset\artefact1\test\mouse\mouse_10101.jpg,mouse,mouse,9,9,"['mouse', 'rabbit', 'squirrel', 'bear', 'gorilla']"
..\Dataset\artefact1\test\mouse\mouse_10102.jpg,mouse,mouse,9,9,"['mouse', 'rabbit', 'squirrel', 'bear', 'gorilla']"
..\Dataset\artefact1\test\mouse\mouse_10103.jpg,mouse,mouse,9,9,"['mouse', 'rabbit', 'squirrel', 'bear', 'gorilla']"
..\Dataset\artefact1\test\mouse\mouse_10104.jpg,mouse,mouse,9,9,"['mouse', 'rabbit', 'squirrel', 'bear', 'gorilla']"
..\Dataset\artefact1\test\ox\ox_10119.jpg,ox,ox,10,10,"['ox', 'mouse', 'cow', 'rabbit', 'bear']"
..\Dataset\artefact1\test\ox\ox_10120.jpg,ox,ox,10,10,"['ox', 'mouse', 'cow', 'rabbit', 'bear']"
..\Dataset\artefact1\test\ox\ox_10121.jpg,ox,ox,10,10,"['ox', 'mouse', 'cow', 'rabbit', 'bear']"
..\Dataset\artefact1\test\ox\ox_10122.jpg,ox,ox,10,10,"['ox', 'mouse', 'cow', 'rabbit', 'bear']"
..\Dataset\artefact1\test\ox\ox_10123.jpg,ox,ox,10,10,"['ox', 'mouse', 'cow', 'rabbit', 'bear']"
..\Dataset\artefact1\test\ox\ox_10124.jpg,ox,ox,10,10,"['ox', 'mouse', 'cow', 'rabbit', 'bear']"
..\Dataset\artefact1\test\ox\ox_10125.jpg,ox,ox,10,10,"['ox', 'mouse', 'cow', 'rabbit', 'bear']"
..\Dataset\artefact1\test\ox\ox_10126.jpg,ox,ox,10,10,"['ox', 'mouse', 'cow', 'rabbit', 'bear']"
..\Dataset\artefact1\test\rabbit\rabbit_10045.jpg,rabbit,rabbit,11,11,"['rabbit', 'squirrel', 'monkey', 'tiger', 'lion']"
..\Dataset\artefact1\test\rabbit\rabbit_10046.jpg,rabbit,rabbit,11,11,"['rabbit', 'squirrel', 'monkey', 'tiger', 'lion']"
..\Dataset\artefact1\test\rabbit\rabbit_10047.jpg,rabbit,rabbit,11,11,"['rabbit', 'squirrel', 'monkey', 'tiger', 'lion']"
..\Dataset\artefact1\test\rabbit\rabbit_10048.jpg,rabbit,rabbit,11,11,"['rabbit', 'squirrel', 'monkey', 'tiger', 'lion']"
..\Dataset\artefact1\test\rabbit\rabbit_10049.jpg,rabbit,rabbit,11,11,"['rabbit', 'squirrel', 'monkey', 'tiger', 'lion']"
..\Dataset\artefact1\test\rabbit\rabbit_10050.jpg,rabbit,rabbit,11,11,"['rabbit', 'squirrel', 'monkey', 'tiger', 'lion']"
..\Dataset\artefact1\test\rabbit\rabbit_10051.jpg,rabbit,rabbit,11,11,"['rabbit', 'squirrel', 'monkey', 'tiger', 'lion']"
..\Dataset\artefact1\test\rabbit\rabbit_10052.jpg,rabbit,rabbit,11,11,"['rabbit', 'squirrel', 'monkey', 'tiger', 'lion']"
..\Dataset\artefact1\test\rhinoceros\rhinoceros_10042.jpg,rhinoceros,rhinoceros,12,12,"['rhinoceros', 'walrus', 'bobcat', 'chimpanzee', 'chimp']"
..\Dataset\artefact1\test\rhinoceros\rhinoceros_10043.jpg,rhinoceros,rhinoceros,12,12,"['rhinoceros', 'walrus', 'bobcat', 'chimpanzee', 'chimp']"
..\Dataset\artefact1\test\rhinoceros\rhinoceros_10044.jpg,rhinoceros,rhinoceros,12,12,"['rhinoceros', 'walrus', 'bobcat', 'chimpanzee', 'chimp']"
..\Dataset\artefact1\test\rhinoceros\rhinoceros_10045.jpg,rhinoceros,rhinoceros,12,12,"['rhinoceros', 'walrus', 'bobcat', 'chimpanzee', 'chimp']"
..\Dataset\artefact1\test\rhinoceros\rhinoceros_10046.jpg,rhinoceros,rhinoceros,12,12,"['rhinoceros', 'walrus', 'bobcat', 'chimpanzee', 'chimp']"
..\Dataset\artefact1\test\rhinoceros\rhinoceros_10047.jpg,rhinoceros,rhinoceros,12,12,"['rhinoceros', 'walrus', 'bobcat', 'chimpanzee', 'chimp']"
..\Dataset\artefact1\test\rhinoceros\rhinoceros_10048.jpg,rhinoceros,walrus,12,17,"['walrus', 'chimp', 'bobcat', 'lion', 'rhinoceros']"
..\Dataset\artefact1\test\rhinoceros\rhinoceros_10049.jpg,rhinoceros,rhinoceros,12,12,"['rhinoceros', 'walrus', 'bobcat', 'chimpanzee', 'chimp']"
..\Dataset\artefact1\test\siamese_cat\siamese+cat_10196.jpg,siamese_cat,siamese_cat,13,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\siamese_cat\siamese+cat_10197.jpg,siamese_cat,siamese_cat,13,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\siamese_cat\siamese+cat_10198.jpg,siamese_cat,siamese_cat,13,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\siamese_cat\siamese+cat_10199.jpg,siamese_cat,siamese_cat,13,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\siamese_cat\siamese+cat_10200.jpg,siamese_cat,siamese_cat,13,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\siamese_cat\siamese+cat_10201.jpg,siamese_cat,siamese_cat,13,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\siamese_cat\siamese+cat_10202.jpg,siamese_cat,siamese_cat,13,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\siamese_cat\siamese+cat_10203.jpg,siamese_cat,siamese_cat,13,13,"['siamese_cat', 'polar_bear', 'giant_panda', 'blue_whale', 'spider_monkey']"
..\Dataset\artefact1\test\skunk\skunk_10068.jpg,skunk,skunk,14,14,"['skunk', 'dog', 'monkey', 'walrus', 'squirrel']"
..\Dataset\artefact1\test\skunk\skunk_10069.jpg,skunk,skunk,14,14,"['skunk', 'dog', 'monkey', 'walrus', 'squirrel']"
..\Dataset\artefact1\test\skunk\skunk_10070.jpg,skunk,skunk,14,14,"['skunk', 'dog', 'monkey', 'walrus', 'squirrel']"
..\Dataset\artefact1\test\skunk\skunk_10071.jpg,skunk,skunk,14,14,"['skunk', 'dog', 'monkey', 'walrus', 'squirrel']"
..\Dataset\artefact1\test\skunk\skunk_10072.jpg,skunk,skunk,14,14,"['skunk', 'dog', 'monkey', 'walrus', 'squirrel']"
..\Dataset\artefact1\test\skunk\skunk_10073.jpg,skunk,skunk,14,14,"['skunk', 'dog', 'monkey', 'walrus', 'squirrel']"
..\Dataset\artefact1\test\skunk\skunk_10074.jpg,skunk,skunk,14,14,"['skunk', 'dog', 'monkey', 'walrus', 'squirrel']"
..\Dataset\artefact1\test\skunk\skunk_10075.jpg,skunk,skunk,14,14,"['skunk', 'dog', 'monkey', 'walrus', 'squirrel']"
..\Dataset\artefact1\test\squirrel\squirrel_10045.jpg,squirrel,squirrel,15,15,"['squirrel', 'monkey', 'rabbit', 'lion', 'cat']"
..\Dataset\artefact1\test\squirrel\squirrel_10046.jpg,squirrel,squirrel,15,15,"['squirrel', 'monkey', 'rabbit', 'lion', 'cat']"
..\Dataset\artefact1\test\squirrel\squirrel_10047.jpg,squirrel,squirrel,15,15,"['squirrel', 'monkey', 'rabbit', 'lion', 'cat']"
..\Dataset\artefact1\test\squirrel\squirrel_10048.jpg,squirrel,squirrel,15,15,"['squirrel', 'monkey', 'rabbit', 'lion', 'cat']"
..\Dataset\artefact1\test\squirrel\squirrel_10049.jpg,squirrel,squirrel,15,15,"['squirrel', 'monkey', 'rabbit', 'lion', 'cat']"
..\Dataset\artefact1\test\squirrel\squirrel_10050.jpg,squirrel,squirrel,15,15,"['squirrel', 'monkey', 'rabbit', 'lion', 'cat']"
..\Dataset\artefact1\test\squirrel\squirrel_10051.jpg,squirrel,squirrel,15,15,"['squirrel', 'monkey', 'rabbit', 'lion', 'cat']"
..\Dataset\artefact1\test\squirrel\squirrel_10052.jpg,squirrel,squirrel,15,15,"['squirrel', 'monkey', 'rabbit', 'lion', 'cat']"
..\Dataset\artefact1\test\tiger\tiger_10117.jpg,tiger,tiger,16,16,"['tiger', 'rabbit', 'monkey', 'lion', 'bear']"
..\Dataset\artefact1\test\tiger\tiger_10118.jpg,tiger,tiger,16,16,"['tiger', 'rabbit', 'monkey', 'lion', 'bear']"
..\Dataset\artefact1\test\tiger\tiger_10119.jpg,tiger,tiger,16,16,"['tiger', 'rabbit', 'monkey', 'lion', 'bear']"
..\Dataset\artefact1\test\tiger\tiger_10120.jpg,tiger,tiger,16,16,"['tiger', 'rabbit', 'monkey', 'lion', 'bear']"
..\Dataset\artefact1\test\tiger\tiger_10121.jpg,tiger,tiger,16,16,"['tiger', 'rabbit', 'monkey', 'lion', 'bear']"
..\Dataset\artefact1\test\tiger\tiger_10122.jpg,tiger,tiger,16,16,"['tiger', 'rabbit', 'monkey', 'lion', 'bear']"
..\Dataset\artefact1\test\tiger\tiger_10123.jpg,tiger,tiger,16,16,"['tiger', 'rabbit', 'monkey', 'lion', 'bear']"
..\Dataset\artefact1\test\tiger\tiger_10125.jpg,tiger,tiger,16,16,"['tiger', 'rabbit', 'monkey', 'lion', 'bear']"
..\Dataset\artefact1\test\walrus\walrus_10182.jpg,walrus,walrus,17,17,"['walrus', 'chimp', 'bobcat', 'lion', 'rhinoceros']"
..\Dataset\artefact1\test\walrus\walrus_10183.jpg,walrus,walrus,17,17,"['walrus', 'chimp', 'bobcat', 'lion', 'rhinoceros']"
..\Dataset\artefact1\test\walrus\walrus_10184.jpg,walrus,walrus,17,17,"['walrus', 'chimp', 'bobcat', 'lion', 'rhinoceros']"
..\Dataset\artefact1\test\walrus\walrus_10185.jpg,walrus,walrus,17,17,"['walrus', 'chimp', 'bobcat', 'lion', 'rhinoceros']"
..\Dataset\artefact1\test\walrus\walrus_10186.jpg,walrus,walrus,17,17,"['walrus', 'chimp', 'bobcat', 'lion', 'rhinoceros']"
..\Dataset\artefact1\test\walrus\walrus_10187.jpg,walrus,walrus,17,17,"['walrus', 'chimp', 'bobcat', 'lion', 'rhinoceros']"
..\Dataset\artefact1\test\walrus\walrus_10188.jpg,walrus,dolphin,17,4,"['dolphin', 'lion', 'monkey', 'squirrel', 'dog']"
..\Dataset\artefact1\test\walrus\walrus_10189.jpg,walrus,walrus,17,17,"['walrus', 'chimp', 'bobcat', 'lion', 'rhinoceros']"
