STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
2326,R KORAYAR AT KANJIKODE,KERALA,29.5,7.1,8.0,728.0,1.2,0.4,374.0,697.0,2014.0
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,10.29495682,9.153948186000001,7.029495682,205.0,1.5,4.705043178,273.0,734.0,
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,25.2,7.8,7.2,50.0,1.6,1.77,20.0,41.0,2013.0
1885,RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,,,,,,,,,2014.0
NAN,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",NAN,25.0,7.5,7.53,87.3,1.4069999999999998,0.5670000000000001,32.0,133.0,2005.0
1703,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,22.5,4.6,7.4,1284.0,24.3,4.0,21500.0,50000.0,2013.0
NAN,"D/S JHARMAL NADI, PUNJAB",NAN,25.0,6.5,7.4,361.8,4.3,1.9,1158.0,15875.0,2005.0
2077,"MOTICHER LAKE NEAR KAKAARPAR ATOMIC POWER STATION, DIST SURAT",GUJARAT,28.4,3.5,8.1,,9.5,0.0,,313.0,
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",NAN,28.0,7.1,8.0,49.0,1.25,0.02,3.0,7.0,2008.0
,,,21.82771567,6.613258804,7.828913732,428.0,2.5,1.0,,90.0,
2284,R NEYYAR AT ARUVIPURAM,KERALA,26.2,6.9,7.2,42.0,0.5,0.18,151.0,774.0,2013.0
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.4,5.4,7.6,39.0,1.4,0.1,3176.0,6367.0,
1705,"U/S SARDULGARH, PUNJAB",PUNJAB,20.0,4.8,7.4,854.0,17.0,4.7,20500.0,38000.0,2014.0
3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,25.2,7.5,7.3,82.0,1.8,2.8,30.0,70.0,2014.0
2272,,,10.49750272,9.397003264,7.049750272000001,6381.0,2.1,4.50249728,202.0,1468.0,
1149,KOLAK AT PATALIA BDG,GUJARAT,29.0,2.4,7.6,1500.0,6.2,1.31,3.0,13.0,2012.0
2465,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.3,6.8,8.5,249.0,,0.11,,,2011.0
NAN,KALA AMB D/S MARKANDA RIVER,NAN,,4.2,8.55,1184.7,341.833,4.0,,,2005.0
,,,21.90696019,5.419779857999999,7.779158317,80.0,2.0,0.921061825,103.0,157.0,
17,PERIYAR NEAR ALWAYENANELOOR,KERALA,27.5,5.6,6.9,943.0,1.5,0.4,655.0,1925.0,2011.0
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,19.02498676,8.831259933,7.1512493379999995,29464.0,19.4,2.4618819530000002,6458.0,10250.0,
2869,BARAK RIVER AT SENAPATI DISTT,MANIPUR,19.47168666,8.496235003999999,7.173584332999999,130.0,3.4,2.227364503,13.0,102.0,
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,26.8,7.1,7.4,80.0,0.6,0.5,1921.0,2831.0,2013.0
,,,21.0,6.047449993,7.8,233.0,2.5,2.9525500069999997,152.0,231.0,
1566,"THIRURANGADY, KERALA",NAN,28.0,6.8,88.0,6.9,0.9,0.307,0.307,1600.0,2003.0
2286,R AYROOR AT AYROOR BRIDGE,KERALA,18.60268235,9.147988236,7.130134118,7400.0,2.6,2.683591765,1183.0,1600.0,
,,,20.88917097,6.678341931,8.236943011000001,46.0,1.0,1.9205077380000002,113.0,186.0,
NAN,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",NAN,,6.6,7.75,136.8,4.5,0.505,15.0,203.0,2005.0
NAN,"AYUR, KERALA",NAN,,6.3,7.15,65.5,1.05,0.223,98.0,595.0,2005.0
1462,PATALGANGA NEAR INTAKE OF MIDC W/W,MAHARASHTRA,10.42259424,9.307113084,7.042259424,48.0,1.5,4.577405763,14.0,34.0,
,,,15.71983819,6.284048543,7.621595146000001,252.0,4.33,13.44903427,133.0,247.0,
1191,BHIMA AT PARGAON (AFTER CONFL.WITH MULE MARTHA) MAHARASHTRA.,MAHARASHTRA,27.3,5.3,8.0,720.0,7.2,2.9,209.0,1700.0,
1566,,,10.60850535,9.530206426,7.060850535,796.0,1.5,4.391494645,39.0,127.0,
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA,24.7,7.7,7.9,232.0,1.3,0.8,30790.0,40500.0,2014.0
,,,22.0,7.773547641,8.151483349,1239.0,2.3,0.7267099140000001,4.0,6.0,
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,29.6,6.9,7.9,99.0,5.0,0.4,15.0,34.0,
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",NAN,27.0,6.7,7.4,103.0,3.9,0.22,64.0,644.0,2007.0
3305,"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,23.0,7.3,7.4,388.0,2.1,0.58,,46.0,2012.0
2326,R KORAYAR AT KANJIKODE,KERALA,10.88347404,9.860168848999999,7.088347403999999,316.0,1.2,4.116525959,,,
1154,NAN,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",29.0,6.5,6.6,109.0,1.2,0.37,142.0,679.0,2009.0
2864,"IMPHAL AT SEKMAI, IMPHAL EAST",MANIPUR,18.56291928,9.177810542000001,7.128145964,175.0,3.1,2.70446738,110.0,140.0,
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,28.9,6.4,7.2,63.0,1.3,0.4,121.0,535.0,2014.0
20,NAN,"CHALIYAR AT KOOLIMADU, KERALA",27.0,6.9,6.9,78.0,0.5,0.23,393.0,703.0,2009.0
2292,NAN,R THIRUR AT THALAKKADATHUR BRIDGE,28.0,5.2,6.1,4968.0,1.1,0.14,235.0,820.0,2009.0
2864,"IMPHAL AT SEKMAI, IMPHAL EAST",MANIPUR,28.0,8.9,7.5,109.0,1.2,,,33.0,2012.0
1632,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,10.20401963,8.820401963,7.030602945,100.0,1.3,5.224421596,13.0,31.0,
1547,RIVER TALPONA AT CANACONA,GOA,15.030783,9.341122009,7.293787644,104.0,1.5,2.639610737,114.0,193.0,
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,24.3,6.3,7.1,69.0,1.3,0.57,248.0,593.0,2013.0
1152,KUNDALIKA AT ROHA CITY,NAN,22.0,6.6,7.2,131.0,4.5,0.83,52.0,609.0,
1566,"THIRURANGADY, KERALA",NAN,28.5,6.433,6.667000000000001,339.3,0.6,0.292,440.0,967.0,2006.0
1884,KALA AMB D/S MARKANDA RIVER,NAN,24.0,3.8,7.8,1424.0,155.6,0.66,,,2008.0
1565,"PAMBA DOWN, KERALA",NAN,27.0,6.8,60.0,5.0,0.9,0.475,0.475,3050.0,2003.0
1703,"GHAGGER AT MOONAK, PUNJAB",NAN,18.0,4.2,7.733,825.3,21.0,1.4,10500.0,76667.0,2006.0
2875,"BARAK RIVER AT N.H. 53, TAMENGLONG DISTT., MANIPUR",MANIPUR,26.0,5.1,7.2,17.0,1.0,,,10.0,2011.0
1442,,,10.95972728,8.895972728,7.143959092,37.0,1.5,6.055700009,21.0,181.0,
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,29.3,5.6,7.3,90.0,1.6,0.4,268.0,705.0,2014.0
3473,,,10.68419744,8.868419744,7.102629617000001,250.0,2.1,5.7526171889999995,696.0,1483.0,
1183,"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNATAKA",KARNATAKA,27.3,6.8,8.4,949.0,3.8,0.3,1483.0,1600.0,
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30.0,5.5,7.4,81.0,1.5,0.1,2853.0,4049.0,
3373,WAH BLEI,MEGHALAYA,18.7,7.4,7.2,53.0,1.9,3.0,14.0,32.0,2013.0
3187,MANDOVI NEAR HOTEL MARRIOT,GOA,30.0,6.1,7.8,39.0,1.5,0.06,1032.0,5840.0,2012.0
,,,21.0,6.22452191,7.62452191,118.0,1.15,2.266782865,3.0,108.0,
1213,"WAINGANGA AT BALAGHAT, M.P.",MADHYA PRADESH,22.7,7.4,7.4,450.0,2.2,0.4,39.0,67.0,
1548,RIVER ASSONORA AT ASSONORA,GOA,28.3,7.3,5.9,74.0,1.5,0.22,8.0,163.0,2011.0
2053,TUIRIAL LOWER CATCHMENT,MIZORAM,23.3,6.8,7.1,286.0,1.3,0.11,8.0,29.0,2011.0
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.0,6.8,7.8,239.0,3.3,0.56,33.0,77.0,2012.0
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",NAN,28.0,7.1,101.0,7.8,2.0,0.1,0.1,138.0,2003.0
18,PERIYAR AT KALADY,NAN,18.0,5.5329999999999995,7.3,79.0,0.7,1.567,11210.0,14920.0,
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",NAN,22.0,7.9,7.9,385.0,2.5,0.25,11.0,24.0,2007.0
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,10.87539281,9.850471374,7.087539281000001,59.0,0.6,4.124607188,2.0,1100.0,
2335,NAN,R PERIYAR AT KALAMASSERY,29.0,4.7,6.6,69.0,1.8,0.26,234.0,1083.0,2009.0
3183,"SAL AT KHAREBAND, MARGAO",GOA,10.06260226,8.875122713,7.006260226,27.0,0.4,4.937397739,98.0,180.0,
2294,NAN,R KALLAI AT KALLAI BRIDGE,27.0,3.5,7.3,20430.0,1.3,0.62,560.0,1290.0,2009.0
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,18.55799278,9.181505413,7.127899639,61.0,1.5,2.7070537889999997,9.0,82.0,
NAN,"U/S SARDULGARH, PUNJAB",NAN,28.0,5.1,7.43,503.3,16.25,2.3,12938.0,44000.0,2005.0
2856,"THOUBAL RIVER AT YAIRIPOK, DISTT. THOUBAL, MANIPUR",MANIPUR,22.5,5.7,6.9,261.0,2.3,,,53.0,2011.0
2858,"NAMBUL RIVER AT SAMUSANG,IMPHAL WEST",MANIPUR,29.0,8.2,7.1,109.0,3.3,,,12.0,2012.0
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",NAN,28.0,7.1,53.0,6.9,1.4,0.36700000000000005,0.36700000000000005,632.0,2003.0
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,25.7,7.3,6.2,113.0,1.2,0.33,9.0,137.0,2011.0
3189,RIVER CHAPORA AT SIOLIM,GOA,29.0,6.3,7.5,31.0,1.6,0.06,1466.0,4267.0,2012.0
1023,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,12.65748938,9.729064236000001,7.1796869889999995,62.0,1.1,3.4405973339999996,3355.0,5672.0,
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,22.3,8.2,8.1,270.0,2.2,0.0,660.0,2033.0,
,,,21.0,6.081003608,7.8,595.0,0.8,2.918996392,39.0,67.0,
2303,R PULLUR AT PULLUR BR.,KERALA,27.8,6.2,6.6,44.0,0.7,0.21,715.0,1630.0,2011.0
2424,BUDHABALANGA AT BALASORE D/S,ORISSA,10.22250653,9.067007835,7.0222506529999995,278.0,1.1,4.7774934710000005,14.0,35.0,
1564,"AYUR, KERALA",NAN,28.5,6.867000000000001,7.067,336.7,0.5329999999999999,0.285,60.0,455.0,2006.0
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL, DHATAV, ROHA, RAIGAD",MAHARASHTRA,18.14912388,9.488157086000001,7.107456194,220.0,1.5,2.92170996,4.0,7.0,
1403,GUMTI AT U/S SOUTH TRIPURA,TRIPURA,21.0,5.3,7.5,164.0,2.8,5.08,5.0,260.0,
1547,"RIVER TALPONA AT CANACONA, GOA",NAN,29.0,7.4,7.0,66.0,2.0,0.1,700.0,1451.0,2007.0
1074,"GANGA AT BUXAR,BIHAR",BIHAR,24.5,8.4,8.1,371.0,2.5,0.0,1190.0,3100.0,
1642,NAN,"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",28.0,7.2,8.2,315.0,1.7,1.7,2600.0,4275.0,2009.0
1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,TAMILNADU,10.84033876,8.884033876,7.126050814,555.0,2.0,5.924372633,386.0,1800.0,
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),HARYANA,17.3,6.0,7.0,820.0,15.3,,,,2011.0
1702,GHAGGAR AT U/S JHARMAL NADI,PUNJAB,19.45882119,8.505884111,7.172941058999999,62.0,0.9,2.234118877,4995.0,9517.0,
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,23.0,5.5,7.3,705.0,10.0,5.0,2020.0,5433.0,2014.0
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,26.3,7.4,6.2,76.0,1.3,0.41,11.0,133.0,2011.0
2947,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,28.0,4.9,8.3,603.0,1.0,0.0,4.0,5.0,2013.0
1631,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,21.9,6.7,7.8,225.0,4.4,1.0,13.0,82.0,
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,20.0,7.0,7.0,1076.0,7.67,3.03,5.0,21.0,
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,28.8,6.7,7.9,173.0,0.9,0.56,191.0,426.0,2013.0
1569,R KUPPAM AT THALIPARAMBA,KERALA,28.3,6.6,7.2,12768.0,1.1,0.13,88.0,1412.0,2011.0
1624,NAN,"IRIL LILONG, MANIPUR",25.0,8.7,7.4,318.0,1.5,,,132.0,2009.0
1121,"YAMUNA AT NIZAMUDDIN, DELHI",DELHI,,1.2,7.5,,17.2,9.0,,12010833.0,
1700,"GHAGGAR AT D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,25.8,3.2,7.6,1197.0,27.3,19.2,20250.0,40250.0,2011.0
2654,"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",NAN,,7.4,7.2,77.0,3.0,0.23,,,2010.0
,,,21.0,6.2349425489999994,7.7,42.0,1.0,3.2881321810000004,8.0,382.0,
1155,KARAMANA AT MOONNATTUMUKKU,NAN,27.6,0.6,7.0,1787.0,14.1,1.49,8542.0,17500.0,2010.0
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL,27.3,6.0,7.9,323.0,3.1,0.7,153917.0,335000.0,
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,19.53613227,8.447900797,7.176806614,254.0,6.68,2.193530558,12.0,242.0,
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",HIMACHAL PRADESH,18.06220309,9.553347684,7.1031101539999995,254.0,2.2,2.967343379,2638.0,4003.0,
1642,"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",ODISHA,24.0,7.4,7.8,244.0,1.9,1.0,20880.0,12473.0,2014.0
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,10.09727579,8.91673095,7.009727579,139.0,1.9,4.902724209,4.0,7.0,
,,,21.0,6.027010688,7.8,227.0,0.4,2.9729893119999997,1940.0,3052.0,
2442,GAUTAMINANGODAVARI RIVER,PONDICHERRY,19.45046018,8.512154865,7.172523009,177.0,1.2,2.238508406,700.0,1250.0,
1156,"PAMBA AT CHENGANNUR, KERALA",NAN,26.0,6.7,6.2,40.0,0.6,1.0,425.0,1100.0,2008.0
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,18.71930798,9.060519013,7.135965399,109.0,1.2,2.6223633090000003,,9.0,
1564,"AYUR, KERALA",NAN,29.0,7.3,7.4,71.0,0.7,4.1,490.0,940.0,2008.0
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,NAN,28.0,5.4,5.9,595.0,0.8,0.1,570.0,1375.0,2008.0
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,11.66937919,8.966937919,7.250406879,1063.0,16.0,6.836317112000001,1666.0,12638.0,
2466,"DAMANGANGA AT VILLAGE NAMDHA, VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",18.71081519,9.066888609,7.1355407589999995,359.0,2.3,2.626822026,4.0,29.0,
1860,NAN,BALEHWAR KHADI AT N.H. NO. 8,30.0,5.7,8.0,601.0,7.4,0.5,14600.0,28666.0,2009.0
2298,R KUPPAM AT RAYAROM,KERALA,26.1,7.7,7.2,44.0,1.0,0.28,29.0,148.0,2011.0
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,23.9,6.7,7.1,79.0,1.6,0.34,313.0,738.0,2013.0
2945,"CHHAPI AT UPSTREAM OF CHHAPI DAM, JHALAWAR, RAJASTHAN",RAJASTHAN,25.8,5.7,8.0,306.0,0.8,0.5,,5.0,
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,26.4,6.7,7.7,274.0,2.3,2.04,5.0,88.0,2011.0
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,29.5,7.1,6.6,68.0,1.1,0.13,4124.0,8167.0,2013.0
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,25.0,8.8,7.3,37.0,1.5,1.62,15.0,35.0,2012.0
2946,"UJAD AT UPSTREAM OF BHIM SAGAR DAM, JHALAWAR, RAJASTHAN",RAJASTHAN,25.9,5.6,8.0,265.0,0.9,0.5,4.0,6.0,
1704,GHAGGAR AT D/S SARDULGARH,PUNJAB,19.30955248,8.617835636,7.165477623999999,88.0,3.2,2.312484945,1286.0,3048.0,
1627,"KIYAMGI, MANIPUR",NAN,21.0,7.5,77.0,7.4,3.2,,,65.0,2003.0
1865,RIVER DHADAR AT KOTHADA,GUJARAT,29.3,8.1,7.6,938.0,8.6,0.4,22.0,108.0,2010.0
2688,,,10.91797516,9.901570197,7.091797516000001,111.0,2.2,4.082024836,1940.0,3052.0,
NAN,"AMARAVILA, KERALA",NAN,,7.1,6.83,80.0,0.7,0.835,850.0,1475.0,2005.0
2867,"MAHA RIVER AT CHANDEL, MANIPUR",MANIPUR,20.7,7.1,7.5,885.0,10.5,0.0,,,
1148,"AMBIKA AT BILIMORA, ",GUJARAT,28.4,6.2,7.8,7778.0,2.7,0.26,2880.0,6581.0,2010.0
1494,"YAMUNA AT U/S OF LAKHWAR DAM, U.P",UTTARAKHAND,19.7,6.5,8.2,,1.1,0.0,7900.0,35000.0,
1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,NAN,18.0,8.0,7.2,4491.0,16.5,2.47,5.0,14.0,
1201,"BHAVANI AT PATHIRAKALIAMMAN KOIL, TAMILNADU",TAMILNADU,24.4,8.1,7.7,108.0,0.7,0.3,11667.0,37848.0,
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,19.0,7.2,7.1,49.0,1.6,2.86,17.0,40.0,2012.0
2696,"PEHLAR DAM ON PEHLAR INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,10.55549737,9.466596842000001,7.055549737000001,77.0,1.1,4.444502632,558.0,1040.0,
2051,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,24.4,7.2,7.3,275.0,1.5,0.1,4.0,68.0,2014.0
1545,RIVER MADAI AT DABOS NAN  VALPOI,GOA,18.72021562,9.059838281000001,7.136010781,403.0,0.8,2.6218867969999997,5.0,260.0,
3366,"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,19.7377389,8.296695826,7.186886945,132.0,1.2,2.087687078,820.0,1460.0,
2286,R AYROOR AT AYROOR BRIDGE,KERALA,29.3,6.3,6.9,95.0,1.3,0.99,750.0,1325.0,2011.0
2285,R MAMOM AT MAMOM BRIDGE,KERALA,19.11766424,8.761751817,7.155883212000001,78.0,0.5,2.4132262719999997,2638.0,4003.0,
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,26.8,3.4,7.8,2577.0,164.9,1.5,148825783.0,160405392.0,2013.0
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,25.0,5.6,7.9,468.0,3.6,1.9,66.0,164.0,
1461,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),NAN,20.0,5.7,7.4,119.0,3.67,3.1,,70.0,
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,29.0,6.3,6.4,79.0,1.6,1.4,7592.0,12842.0,2014.0
,,,19.54568546,5.918020178,8.077284273,389.0,26.0,8.821852104,2.0,1400.0,
2297,R ANCHARAKANDY AT MERUVAMBA,NAN,27.0,7.6,6.3,39.0,0.5,0.2,1040.0,2588.0,2008.0
1572,"PADIYATHADKA, KERALA",NAN,28.5,7.0,7.132999999999999,302.0,0.7,0.168,323.0,933.0,2006.0
NAN,"KALU AT ATALE VILLAGE, MAHARASHTRA",NAN,,5.1,7.45,5168.8,9.875,1.81,7.0,210.0,2005.0
,,,14.53043818,6.571306722999999,7.8375649460000005,633.0,,16.65128225,2.0,1450.0,
2299,RAMAPURAM AT RAMAPURAM BRIDGE,NAN,28.6,5.6,6.4,7904.0,1.0,0.4,165.0,278.0,2010.0
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,25.7,6.6,6.7,170.0,2.5,0.2,10.0,34.0,2014.0
1625,NAMBUL RIVER AT HUMP BRIDGE,MANIPUR,29.0,5.9,7.1,338.0,6.6,,,522.0,2012.0
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,19.88329204,8.187530972000001,7.194164602000001,3844.0,2.0,2.0112716809999998,2853.0,4049.0,
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.2,7.0,8.0,168.0,3.6,1.0,44.0,83.0,2013.0
1704,"D/S SARDULGARH, PUNJAB",NAN,20.0,4.5,6.6,1269.0,30.3,4.1,21000.0,42750.0,2010.0
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,29.8,5.7,7.2,189.0,2.0,0.2,4953.0,8391.0,2014.0
2047,NNANCHOE (ATTAWA CHOE),NAN,26.0,0.6,7.3,646.0,87.0,6.8,,,2006.0
,,,22.0,7.782420997000001,8.157694698,749.0,2.25,0.7239000179999999,26.0,50.0,
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,26.9,6.0,5.9,273.0,1.8,0.31,10.0,171.0,2011.0
,,,21.0,5.9,7.772237867,477.0,2.4,3.452804374,,,
2173,WAINGANGA RIVER U/S OF ELLORA PAPER MILL.,MAHARASHTRA,28.1,5.9,8.1,341.0,9.1,1.2,82.0,132.0,
3082,"RIVER MUSI RESERVOIR AT KASANIGUDA,  NALGONDA, A.P.",ANDHRA PRADESH,28.6,5.4,8.2,1062.0,2.1,2.6,21.0,67.0,
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,27.9,6.9,7.3,4282.0,3.3,1.6,,,
1856,SHANKNI RIVER A/C DANKANI RIVER DANTEWADA.,CHHATTISGARH,25.0,7.4,7.5,,1.7,0.0,,9.0,
2936,"JAISAMAND LAKE, ALWAR, RAJASTHAN",RAJASTHAN,24.4,5.0,8.0,314.0,1.9,2.0,4.0,7.0,
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,28.5,5.7,7.4,2323.0,6.3,1.47,400.0,541.0,2011.0
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA,24.8,7.4,7.9,196.0,0.7,0.6,5323.0,15213.0,2014.0
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL, DHATAV, ROHA, RAIGAD",MAHARASHTRA,28.9,7.2,7.9,77.0,3.2,0.42,164.0,282.0,2011.0
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",NAN,26.0,7.4,139.0,5.8,5.9,0.45299999999999996,0.45299999999999996,213.0,2003.0
1457,IMPHAL AT KOIRENGEI,MANIPUR,19.82589753,8.230576854,7.191294876000001,185.0,2.2,2.041403798,786.0,1400.0,
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,10.13769309,8.965231702999999,7.013769309,51.0,1.0,4.862306915,93.0,191.0,
2460,DAMANGANGA AT DISCHARGE POINT OF DISTILLERY,"DAMAN, DIU, DADRA NAGAR HAVELI",28.1,4.6,8.0,23576.0,158.8,6.88,35.0,46.0,2011.0
1971,THOL TANK (KALOL) (DIST MEHSANA),GUJARAT,27.8,2.4,8.0,351.0,6.6,6.22,24.0,959.0,
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,18.3,1.0,7.2,376.0,57.2,20.3,48665.0,83554.0,2014.0
1448,NAGAVALLI AT THOTAPALLI REGULATOR,NAN,28.0,6.5,7.6,312.0,1.1,2.41,3.0,354.0,2010.0
1925,KHUGA RIVER (CHURACHANDPUR),MANIPUR,23.0,5.8,7.4,249.0,1.0,,,37.0,2011.0
1403,GUMTI AT U/S SOUTH TRIPURA,TRIPURA,18.68229228,9.088280787999999,7.134114614,75.0,1.6,2.641796551,18857.0,32714.0,
3186,RIVER MANDOVI AT IFFI JETTY,GOA,10.26974512,8.826974512,7.040461767999999,94.0,1.1,5.296719631,786.0,1400.0,
2568,"GANDAK AT REWAGHAT, MUJAFFARPUR",BIHAR,23.0,8.4,8.1,247.0,1.8,0.0,527.0,1305.0,
,,,21.0,6.654850927000001,8.003880741,760.0,13.5,2.32102224,129.0,279.0,
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,24.0,6.1,7.5,465.0,0.5,0.34,4.0,1458.0,2012.0
1815,GANGA AT MOKAMA (D/S),BIHAR,24.0,7.7,7.8,295.0,2.6,0.0,2792.0,9430.0,
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26.0,7.3,7.2,59.0,0.6,0.19,160.0,465.0,2011.0
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,26.0,6.8,6.2,226.0,1.6,0.18,9.0,151.0,2011.0
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,25.5,6.9,7.5,231.0,0.8,0.55,1000.0,1725.0,2011.0
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.0,6.1,7.5,14083.0,1.4,0.25,920.0,2686.0,2012.0
